week,day,weekday,name,role
001,09.02.2026,mo,Queen from Azo,R4
001,10.02.2026,tu,Kvothekg,VS1
001,11.02.2026,we,Kampfratze,R4
001,12.02.2026,th,Fran171526,AE
001,13.02.2026,fr,Azuuzz,R4/5
001,14.02.2026,sa,SNEAKY BUNNY,DS-MVP-B
001,15.02.2026,so,haasenpeter rex,STAR(TS1)
002,16.02.2026,mo,Fürst der Nazgul,R4
002,17.02.2026,tu,Li La LinuS,VS1
002,18.02.2026,we,Phoenix Fox,R4
002,19.02.2026,th,Giorgiotown,AE
002,20.02.2026,fr,Snowy,R4
002,21.02.2026,sa,FATUUM,DS-MVP-A
002,22.02.2026,su,Azuuzz,STAR (x)
003,23.02.2026,mo,Skywölkchen,R4
003,24.02.2026,tu,azerty57,TS1
003,25.02.2026,wd,Kytrider,R4
003,26.02.2026,th,Fran171526,AE
003,27.02.2026,fr,SmartesGirl,R4
003,28.02.2026,sa,Xambash,DS-MVP-A
003,01.03.2026,su,UMY Stern,STAR
004,02.03.2026,mo,Feivel D MauS,R4
004,03.03.2026,tu,BungabOo,VS1
004,04.03.2026,wd,Queen from Azo,R4
004,05.03.2026,th,Amir Yakuza,AE
004,06.03.2026,fr,Last Wolf Warrior,R4
004,07.03.2026,sa,2 s t y,DS-MVP-A
004,08.03.2026,su,Cluster82,STAR
005,09.03.2026,mo,Fürst der Nazgul,R4
005,10.03.2026,tu,cappu97,TS1
005,11.03.2026,wd,Phoenix Fox,R4
005,12.03.2026,th,Dr Cal Lightman,AE
005,13.03.2026,fr,Peridakles,R5 (x)
005,14.03.2026,sa,Li La Linus,DS-MVP-A (x boss)
005,15.03.2026,su,Kotor47,STAR
006,16.03.2026,mo,Smowy,R4
006,17.03.2026,tu,Li La Linus,VS1
006,18.03.2026,wd,Skywölkchen,R4
006,19.03.2026,th,UMY Stern,AE
006,20.03.2026,fr,supi pupi,R4/R5
006,21.03.2026,sa,SNEAKY BUNNY,DS-MVP-B
006,22.03.2026,su,Cluster82,STAR
